alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,objdump,5,1624815533, 0, 0, 12.86
AFLfast,objdump,5,1624815872, 0, 0, 0.00
AFLfast,objdump,5,1624815877, 0, 0, 0.00
AFLfast,objdump,5,1624815882, 0, 0, 0.00
AFLfast,objdump,5,1624815888, 0, 0, 0.00
AFLfast,objdump,5,1624815893, 0, 0, 0.00
AFLfast,objdump,5,1624815898, 0, 0, 0.00
AFLfast,objdump,5,1624815903, 0, 0, 0.00
AFLfast,objdump,5,1624815908, 0, 0, 0.00
AFLfast,objdump,5,1624815913, 0, 0, 0.00
AFLfast,objdump,5,1624815918, 0, 0, 0.00
AFLfast,objdump,5,1624815923, 0, 0, 0.00
AFLfast,objdump,5,1624815928, 0, 0, 0.00
AFLfast,objdump,5,1624815934, 0, 0, 0.00
AFLfast,objdump,5,1624815939, 0, 0, 0.00
AFLfast,objdump,5,1624815944, 0, 0, 0.00
AFLfast,objdump,5,1624815949, 0, 0, 0.00
AFLfast,objdump,5,1624815954, 0, 0, 0.00
AFLfast,objdump,5,1624815960, 0, 0, 0.00
AFLfast,objdump,5,1624815965, 0, 0, 0.00
AFLfast,objdump,5,1624815970, 0, 0, 0.00
AFLfast,objdump,5,1624815975, 0, 0, 0.00
AFLfast,objdump,5,1624815980, 0, 0, 0.00
AFLfast,objdump,5,1624815985, 0, 0, 0.00
AFLfast,objdump,5,1624815990, 0, 0, 0.00
AFLfast,objdump,5,1624815995, 0, 0, 0.00
AFLfast,objdump,5,1624816000, 0, 0, 0.00
AFLfast,objdump,5,1624816006, 0, 0, 0.00
AFLfast,objdump,5,1624816011, 0, 0, 0.00
AFLfast,objdump,5,1624816016, 0, 0, 0.00
AFLfast,objdump,5,1624816021, 0, 0, 0.00
AFLfast,objdump,5,1624816026, 0, 0, 0.00
AFLfast,objdump,5,1624816032, 0, 0, 0.00
AFLfast,objdump,5,1624816037, 0, 0, 0.00
AFLfast,objdump,5,1624816042, 0, 0, 0.00
AFLfast,objdump,5,1624816047, 0, 0, 0.00
AFLfast,objdump,5,1624816052, 0, 0, 0.00
AFLfast,objdump,5,1624816057, 0, 0, 0.00
AFLfast,objdump,5,1624816063, 0, 0, 0.00
AFLfast,objdump,5,1624816068, 0, 0, 0.00
AFLfast,objdump,5,1624816073, 0, 0, 0.00
AFLfast,objdump,5,1624816078, 0, 0, 0.00
AFLfast,objdump,5,1624816083, 0, 0, 0.00
AFLfast,objdump,5,1624816088, 0, 0, 0.00
AFLfast,objdump,5,1624816094, 0, 0, 0.00
AFLfast,objdump,5,1624816099, 0, 0, 0.00
AFLfast,objdump,5,1624816104, 0, 0, 0.00
AFLfast,objdump,5,1624816109, 0, 0, 0.00
AFLfast,objdump,5,1624816114, 0, 0, 0.00
AFLfast,objdump,5,1624816119, 0, 0, 0.00
AFLfast,objdump,5,1624816125, 0, 0, 0.00
AFLfast,objdump,5,1624816130, 0, 0, 0.00
AFLfast,objdump,5,1624816135, 0, 0, 0.00
AFLfast,objdump,5,1624816140, 0, 0, 0.00
AFLfast,objdump,5,1624816145, 0, 0, 0.00
AFLfast,objdump,5,1624816150, 0, 0, 0.00
AFLfast,objdump,5,1624816156, 0, 0, 0.00
AFLfast,objdump,5,1624816161, 0, 0, 0.00
AFLfast,objdump,5,1624816166, 0, 0, 0.00
AFLfast,objdump,5,1624816171, 0, 0, 0.00
AFLfast,objdump,5,1624816176, 0, 0, 0.00
AFLfast,objdump,5,1624816181, 0, 0, 0.00
AFLfast,objdump,5,1624816187, 0, 0, 0.00
AFLfast,objdump,5,1624816192, 0, 0, 0.00
AFLfast,objdump,5,1624816197, 0, 0, 0.00
AFLfast,objdump,5,1624816202, 0, 0, 0.00
AFLfast,objdump,5,1624816207, 0, 0, 0.00
AFLfast,objdump,5,1624816212, 0, 0, 0.00
AFLfast,objdump,5,1624816217, 0, 0, 0.00
AFLfast,objdump,5,1624816222, 0, 0, 0.00
AFLfast,objdump,5,1624816228, 0, 0, 0.00
AFLfast,objdump,5,1624816233, 0, 0, 0.00
AFLfast,objdump,5,1624816238, 0, 0, 0.00
AFLfast,objdump,5,1624816243, 0, 0, 0.00
AFLfast,objdump,5,1624816248, 0, 0, 0.00
AFLfast,objdump,5,1624816253, 0, 0, 0.00
AFLfast,objdump,5,1624816258, 0, 0, 0.00
AFLfast,objdump,5,1624816264, 0, 0, 0.00
AFLfast,objdump,5,1624816269, 0, 0, 0.00
AFLfast,objdump,5,1624816274, 0, 0, 0.00
AFLfast,objdump,5,1624816279, 0, 0, 0.00
AFLfast,objdump,5,1624816284, 0, 0, 0.00
AFLfast,objdump,5,1624816289, 0, 0, 0.00
AFLfast,objdump,5,1624816295, 0, 0, 0.00
AFLfast,objdump,5,1624816300, 0, 0, 0.00
AFLfast,objdump,5,1624816305, 0, 0, 0.00
AFLfast,objdump,5,1624816310, 0, 0, 0.00
AFLfast,objdump,5,1624816315, 0, 0, 0.00
AFLfast,objdump,5,1624816320, 0, 0, 0.00
AFLfast,objdump,5,1624816326, 0, 0, 0.00
AFLfast,objdump,5,1624816331, 0, 0, 0.00
AFLfast,objdump,5,1624816336, 0, 0, 0.00
AFLfast,objdump,5,1624816341, 0, 0, 0.00
AFLfast,objdump,5,1624816346, 0, 0, 0.00
AFLfast,objdump,5,1624816351, 0, 0, 0.00
