alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
AFLfast,strings,0,1624816804, 0, 0, 3, 3, 2, 0.01%, 0, 0, 1, 13.78
AFLfast,strings,0,1624817138, 0, 0, 4, 4, 2, 0.01%, 0, 0, 2, 10.44
AFLfast,strings,0,1624817184, 0, 0, 5, 5, 2, 0.01%, 0, 0, 2, 10.17
AFLfast,strings,0,1624817210, 0, 0, 6, 6, 2, 0.01%, 0, 0, 2, 10.35
AFLfast,strings,0,1624843372, 0, 2, 6, 5, 3, 0.01%, 0, 0, 2, 13.25
AFLfast,strings,0,1624843491, 0, 2, 7, 6, 3, 0.01%, 0, 0, 2, 14.93
AFLfast,strings,0,1624848746, 0, 3, 7, 5, 3, 0.01%, 0, 0, 2, 11.18
AFLfast,strings,0,1624849158, 0, 3, 8, 6, 3, 0.01%, 0, 0, 3, 10.78
AFLfast,strings,0,1624874168, 0, 3, 8, 6, 3, 0.01%, 0, 1, 3, 0.07
AFLfast,strings,0,1624878819, 0, 4, 8, 5, 2, 0.01%, 0, 1, 3, 15.39
AFLfast,strings,0,1624879194, 0, 4, 9, 6, 2, 0.01%, 0, 1, 3, 15.08
AFLfast,strings,0,1624881081, 0, 4, 9, 6, 2, 0.01%, 0, 2, 3, 0.34
