alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,strings,8,1624817043, 0, 0, 15.17
AFLfast,strings,8,1624817048, 0, 0, 15.61
AFLfast,strings,8,1624817167, 0, 0, 14.79
AFLfast,strings,8,1624817285, 0, 0, 13.85
AFLfast,strings,8,1624820646, 0, 0, 14.93
AFLfast,strings,8,1624822434, 0, 0, 17.49
AFLfast,strings,8,1624822449, 0, 0, 17.85
AFLfast,strings,8,1624822568, 0, 0, 14.99
AFLfast,strings,8,1624825876, 0, 0, 16.59
AFLfast,strings,8,1624827717, 0, 0, 14.99
AFLfast,strings,8,1624828920, 0, 0, 15.67
AFLfast,strings,8,1624832967, 0, 0, 16.00
AFLfast,strings,8,1624836542, 0, 0, 14.58
AFLfast,strings,8,1624838253, 0, 0, 15.84
AFLfast,strings,8,1624838382, 0, 0, 15.23
AFLfast,strings,8,1624843540, 0, 0, 15.79
AFLfast,strings,8,1624843663, 0, 0, 15.82
AFLfast,strings,8,1624848813, 0, 0, 15.45
AFLfast,strings,8,1624852530, 0, 0, 15.67
AFLfast,strings,8,1624852545, 0, 0, 11.24
AFLfast,strings,8,1624852550, 0, 0, 16.98
AFLfast,strings,8,1624852566, 0, 0, 18.91
AFLfast,strings,8,1624852581, 0, 0, 19.03
AFLfast,strings,8,1624852597, 0, 0, 18.98
AFLfast,strings,8,1624852617, 0, 0, 17.44
AFLfast,strings,8,1624853870, 0, 0, 15.83
AFLfast,strings,8,1624857949, 0, 0, 16.43
AFLfast,strings,8,1624859216, 0, 0, 16.22
AFLfast,strings,8,1624863408, 0, 0, 15.46
AFLfast,strings,8,1624870962, 0, 0, 9.05
AFLfast,strings,8,1624878265, 0, 0, 20.96
AFLfast,strings,8,1624882844, 0, 0, 18.04
AFLfast,strings,8,1624883340, 0, 1, 0.14
AFLfast,strings,8,1624893476, 0, 1, 0.00
AFLfast,strings,8,1624893481, 0, 1, 0.00
AFLfast,strings,8,1624893487, 0, 1, 0.00
AFLfast,strings,8,1624893492, 0, 1, 0.00
AFLfast,strings,8,1624893497, 0, 1, 0.00
AFLfast,strings,8,1624893502, 0, 1, 0.00
AFLfast,strings,8,1624893507, 0, 1, 0.00
AFLfast,strings,8,1624893512, 0, 1, 0.00
