alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
AFLfast,jpegtran,10,1624530574, 0, 0, 39, 39, 30, 0.21%, 0, 0, 1, 37.07
AFLfast,jpegtran,10,1624530579, 0, 0, 40, 40, 30, 0.22%, 0, 0, 2, 67.08
AFLfast,jpegtran,10,1624530584, 0, 3, 47, 46, 29, 0.22%, 0, 0, 2, 53.79
AFLfast,jpegtran,10,1624530589, 0, 3, 50, 49, 29, 0.22%, 0, 0, 2, 61.12
AFLfast,jpegtran,10,1624530599, 0, 3, 51, 50, 29, 0.22%, 0, 0, 2, 59.36
AFLfast,jpegtran,10,1624530609, 0, 3, 56, 55, 29, 0.22%, 0, 0, 2, 51.48
AFLfast,jpegtran,10,1624530645, 0, 3, 60, 59, 29, 0.22%, 0, 0, 2, 10.28
AFLfast,jpegtran,10,1624530702, 0, 3, 64, 63, 29, 0.22%, 0, 0, 2, 22.58
AFLfast,jpegtran,10,1624530712, 0, 3, 71, 70, 29, 0.22%, 0, 0, 2, 13.82
AFLfast,jpegtran,10,1624530717, 0, 3, 72, 71, 29, 0.22%, 0, 0, 2, 27.78
AFLfast,jpegtran,10,1624530723, 0, 3, 73, 72, 29, 0.22%, 0, 0, 2, 30.18
AFLfast,jpegtran,10,1624530743, 0, 3, 76, 75, 29, 0.22%, 0, 0, 2, 38.14
AFLfast,jpegtran,10,1624530784, 0, 3, 77, 76, 29, 0.22%, 0, 0, 2, 30.91
AFLfast,jpegtran,10,1624530789, 0, 3, 78, 77, 29, 0.22%, 0, 0, 2, 33.67
AFLfast,jpegtran,10,1624530867, 0, 4, 78, 76, 55, 0.22%, 0, 0, 2, 29.97
AFLfast,jpegtran,10,1624530887, 0, 4, 79, 77, 55, 0.22%, 0, 0, 2, 30.60
AFLfast,jpegtran,10,1624531011, 0, 4, 80, 78, 55, 0.22%, 0, 0, 2, 4.55
AFLfast,jpegtran,10,1624531093, 0, 4, 82, 80, 55, 0.22%, 0, 0, 2, 30.99
AFLfast,jpegtran,10,1624531206, 0, 5, 82, 79, 55, 0.22%, 0, 0, 2, 29.11
AFLfast,jpegtran,10,1624531252, 0, 5, 83, 80, 55, 0.22%, 0, 0, 2, 28.68
AFLfast,jpegtran,10,1624531294, 0, 5, 84, 81, 55, 0.22%, 0, 0, 2, 30.89
AFLfast,jpegtran,10,1624531571, 0, 6, 86, 82, 56, 0.22%, 0, 0, 2, 28.02
AFLfast,jpegtran,10,1624531576, 0, 6, 87, 83, 56, 0.22%, 0, 0, 2, 30.07
AFLfast,jpegtran,10,1624531612, 0, 6, 88, 84, 56, 0.23%, 0, 0, 2, 30.73
AFLfast,jpegtran,10,1624531618, 0, 6, 96, 92, 56, 0.23%, 0, 0, 2, 29.28
AFLfast,jpegtran,10,1624531623, 0, 6, 101, 97, 56, 0.23%, 0, 0, 2, 29.75
AFLfast,jpegtran,10,1624531628, 0, 6, 105, 101, 56, 0.23%, 0, 0, 2, 29.13
AFLfast,jpegtran,10,1624531633, 0, 6, 110, 106, 56, 0.23%, 0, 0, 2, 31.45
AFLfast,jpegtran,10,1624531643, 0, 6, 112, 108, 56, 0.23%, 0, 0, 2, 28.81
AFLfast,jpegtran,10,1624531653, 0, 6, 113, 109, 56, 0.23%, 0, 0, 2, 30.87
AFLfast,jpegtran,10,1624531658, 0, 6, 117, 113, 56, 0.23%, 0, 0, 2, 28.69
AFLfast,jpegtran,10,1624531700, 0, 6, 118, 114, 56, 0.23%, 0, 0, 2, 30.99
AFLfast,jpegtran,10,1624531705, 0, 6, 120, 116, 56, 0.23%, 0, 0, 2, 32.02
AFLfast,jpegtran,10,1624531731, 0, 6, 121, 117, 56, 0.23%, 0, 0, 2, 35.30
AFLfast,jpegtran,10,1624531736, 0, 6, 123, 119, 56, 0.23%, 0, 0, 2, 30.45
AFLfast,jpegtran,10,1624531741, 0, 6, 124, 120, 56, 0.23%, 0, 0, 2, 29.05
AFLfast,jpegtran,10,1624531829, 0, 6, 126, 122, 56, 0.23%, 0, 0, 2, 30.00
AFLfast,jpegtran,10,1624531839, 0, 6, 127, 123, 56, 0.23%, 0, 0, 2, 32.14
AFLfast,jpegtran,10,1624531947, 0, 6, 130, 126, 56, 0.23%, 0, 0, 2, 31.06
AFLfast,jpegtran,10,1624532009, 0, 6, 131, 127, 56, 0.23%, 0, 0, 2, 30.91
AFLfast,jpegtran,10,1624532050, 0, 6, 132, 128, 56, 0.23%, 0, 0, 2, 28.23
AFLfast,jpegtran,10,1624532091, 0, 6, 133, 129, 56, 0.23%, 0, 0, 2, 31.21
AFLfast,jpegtran,10,1624532142, 0, 6, 135, 131, 56, 0.23%, 0, 0, 2, 30.47
AFLfast,jpegtran,10,1624532595, 0, 6, 136, 132, 56, 0.23%, 0, 0, 2, 32.15
AFLfast,jpegtran,10,1624532600, 0, 6, 138, 134, 56, 0.23%, 0, 0, 2, 30.35
AFLfast,jpegtran,10,1624532605, 0, 9, 139, 134, 72, 0.23%, 0, 0, 2, 4.27
AFLfast,jpegtran,10,1624532610, 0, 9, 140, 135, 72, 0.23%, 0, 0, 2, 27.59
AFLfast,jpegtran,10,1624532656, 0, 9, 148, 143, 72, 0.23%, 0, 0, 2, 25.07
AFLfast,jpegtran,10,1624532661, 0, 9, 154, 149, 72, 0.23%, 0, 0, 2, 27.27
AFLfast,jpegtran,10,1624532698, 0, 9, 156, 151, 72, 0.23%, 0, 0, 2, 26.40
AFLfast,jpegtran,10,1624532703, 0, 9, 157, 152, 72, 0.23%, 0, 0, 2, 22.62
AFLfast,jpegtran,10,1624532749, 0, 9, 161, 156, 72, 0.23%, 0, 0, 2, 35.05
AFLfast,jpegtran,10,1624532754, 0, 9, 164, 159, 72, 0.23%, 0, 0, 2, 32.71
AFLfast,jpegtran,10,1624532785, 0, 9, 165, 160, 72, 0.23%, 0, 0, 2, 31.44
AFLfast,jpegtran,10,1624532831, 0, 9, 167, 162, 72, 0.23%, 0, 0, 2, 27.79
AFLfast,jpegtran,10,1624532872, 0, 9, 168, 163, 72, 0.23%, 0, 0, 2, 28.86
AFLfast,jpegtran,10,1624532893, 0, 9, 169, 164, 72, 0.23%, 0, 0, 2, 3.58
AFLfast,jpegtran,10,1624532985, 0, 9, 170, 165, 72, 0.24%, 0, 0, 2, 32.03
AFLfast,jpegtran,10,1624532995, 0, 9, 172, 167, 72, 0.24%, 0, 0, 2, 27.18
AFLfast,jpegtran,10,1624533000, 0, 9, 173, 168, 72, 0.24%, 0, 0, 2, 27.75
AFLfast,jpegtran,10,1624533016, 0, 9, 174, 169, 72, 0.24%, 0, 0, 2, 28.41
AFLfast,jpegtran,10,1624533689, 0, 12, 174, 168, 86, 0.24%, 0, 0, 2, 25.69
AFLfast,jpegtran,10,1624534752, 0, 14, 174, 167, 85, 0.24%, 0, 0, 2, 31.80
AFLfast,jpegtran,10,1624534757, 0, 14, 175, 168, 85, 0.24%, 0, 0, 2, 28.64
AFLfast,jpegtran,10,1624534988, 0, 14, 177, 170, 85, 0.24%, 0, 0, 2, 25.92
AFLfast,jpegtran,10,1624535075, 0, 15, 177, 169, 85, 0.24%, 0, 0, 2, 29.74
AFLfast,jpegtran,10,1624535080, 0, 15, 187, 179, 85, 0.24%, 0, 0, 2, 15.54
AFLfast,jpegtran,10,1624535085, 0, 15, 189, 181, 85, 0.24%, 0, 0, 2, 22.88
AFLfast,jpegtran,10,1624535091, 0, 15, 191, 183, 85, 0.24%, 0, 0, 2, 1.42
AFLfast,jpegtran,10,1624535096, 0, 15, 194, 186, 85, 0.24%, 0, 0, 2, 27.35
AFLfast,jpegtran,10,1624535101, 0, 15, 195, 187, 85, 0.24%, 0, 0, 2, 33.03
AFLfast,jpegtran,10,1624535116, 0, 15, 200, 192, 85, 0.24%, 0, 0, 2, 16.78
AFLfast,jpegtran,10,1624535122, 0, 15, 201, 193, 85, 0.24%, 0, 0, 2, 29.36
AFLfast,jpegtran,10,1624535163, 0, 16, 201, 192, 86, 0.24%, 0, 0, 2, 29.45
AFLfast,jpegtran,10,1624535173, 0, 16, 202, 193, 86, 0.24%, 0, 0, 2, 23.65
AFLfast,jpegtran,10,1624535184, 0, 16, 204, 195, 86, 0.24%, 0, 0, 2, 30.66
AFLfast,jpegtran,10,1624535225, 0, 16, 206, 197, 86, 0.24%, 0, 0, 2, 27.89
AFLfast,jpegtran,10,1624535230, 0, 16, 208, 199, 86, 0.24%, 0, 0, 2, 23.32
AFLfast,jpegtran,10,1624535307, 0, 16, 211, 202, 86, 0.24%, 0, 0, 2, 29.99
AFLfast,jpegtran,10,1624535312, 0, 16, 212, 203, 86, 0.24%, 0, 0, 2, 30.24
AFLfast,jpegtran,10,1624535359, 0, 16, 213, 204, 86, 0.24%, 0, 0, 2, 32.25
AFLfast,jpegtran,10,1624535472, 0, 17, 214, 204, 88, 0.24%, 0, 0, 2, 27.28
AFLfast,jpegtran,10,1624535477, 0, 17, 215, 205, 88, 0.24%, 0, 0, 2, 25.92
AFLfast,jpegtran,10,1624535482, 0, 17, 216, 206, 88, 0.24%, 0, 0, 2, 14.20
AFLfast,jpegtran,10,1624535600, 0, 17, 219, 209, 88, 0.24%, 0, 0, 2, 27.75
AFLfast,jpegtran,10,1624535615, 0, 19, 219, 208, 90, 0.24%, 0, 0, 2, 28.71
AFLfast,jpegtran,10,1624535621, 0, 19, 220, 209, 90, 0.24%, 0, 0, 2, 6.54
AFLfast,jpegtran,10,1624535657, 0, 20, 220, 208, 89, 0.24%, 0, 0, 2, 29.91
AFLfast,jpegtran,10,1624535750, 0, 22, 220, 207, 88, 0.24%, 0, 0, 2, 28.50
AFLfast,jpegtran,10,1624535766, 0, 22, 221, 208, 88, 0.24%, 0, 0, 2, 21.05
AFLfast,jpegtran,10,1624535797, 0, 23, 222, 208, 85, 0.24%, 0, 0, 2, 19.57
AFLfast,jpegtran,10,1624535802, 0, 23, 223, 209, 85, 0.24%, 0, 0, 2, 22.55
AFLfast,jpegtran,10,1624535849, 0, 23, 224, 210, 85, 0.24%, 0, 0, 2, 24.13
AFLfast,jpegtran,10,1624535854, 0, 23, 230, 216, 85, 0.24%, 0, 0, 2, 8.32
AFLfast,jpegtran,10,1624535859, 0, 23, 239, 225, 85, 0.24%, 0, 0, 2, 14.66
AFLfast,jpegtran,10,1624535864, 0, 23, 244, 230, 85, 0.25%, 0, 0, 2, 21.07
AFLfast,jpegtran,10,1624535869, 0, 23, 245, 231, 85, 0.25%, 0, 0, 2, 28.58
AFLfast,jpegtran,10,1624535905, 0, 23, 246, 232, 85, 0.25%, 0, 0, 2, 10.44
AFLfast,jpegtran,10,1624535956, 0, 23, 250, 236, 85, 0.25%, 0, 0, 2, 9.40
AFLfast,jpegtran,10,1624535962, 0, 23, 255, 241, 85, 0.25%, 0, 0, 2, 17.85
AFLfast,jpegtran,10,1624536003, 0, 23, 256, 242, 85, 0.25%, 0, 0, 2, 25.26
AFLfast,jpegtran,10,1624536054, 0, 23, 257, 243, 85, 0.25%, 0, 0, 2, 23.83
AFLfast,jpegtran,10,1624536223, 0, 23, 258, 244, 85, 0.25%, 0, 0, 2, 27.90
AFLfast,jpegtran,10,1624536238, 0, 23, 260, 246, 85, 0.26%, 0, 0, 2, 6.18
AFLfast,jpegtran,10,1624536243, 0, 23, 261, 247, 85, 0.26%, 0, 0, 2, 12.33
AFLfast,jpegtran,10,1624536259, 0, 23, 264, 250, 85, 0.26%, 0, 0, 2, 23.21
AFLfast,jpegtran,10,1624536264, 0, 23, 266, 252, 85, 0.26%, 0, 0, 2, 28.98
AFLfast,jpegtran,10,1624536269, 0, 23, 267, 253, 85, 0.26%, 0, 0, 2, 29.48
AFLfast,jpegtran,10,1624536489, 0, 23, 268, 254, 85, 0.26%, 0, 0, 2, 29.60
AFLfast,jpegtran,10,1624536966, 0, 24, 268, 253, 98, 0.26%, 0, 0, 2, 36.58
AFLfast,jpegtran,10,1624537023, 0, 24, 272, 257, 98, 0.26%, 0, 0, 2, 7.75
AFLfast,jpegtran,10,1624537028, 0, 24, 275, 260, 98, 0.26%, 0, 0, 2, 19.12
AFLfast,jpegtran,10,1624537033, 0, 24, 277, 262, 98, 0.26%, 0, 0, 2, 25.68
AFLfast,jpegtran,10,1624537038, 0, 24, 282, 267, 98, 0.26%, 0, 0, 2, 23.37
AFLfast,jpegtran,10,1624537044, 0, 24, 286, 271, 98, 0.26%, 0, 0, 2, 26.17
AFLfast,jpegtran,10,1624537049, 0, 24, 290, 275, 98, 0.26%, 0, 0, 2, 24.37
AFLfast,jpegtran,10,1624537059, 0, 24, 292, 277, 98, 0.26%, 0, 0, 2, 29.67
AFLfast,jpegtran,10,1624537064, 0, 24, 294, 279, 98, 0.26%, 0, 0, 2, 26.34
AFLfast,jpegtran,10,1624537069, 0, 24, 296, 281, 98, 0.27%, 0, 0, 2, 28.17
AFLfast,jpegtran,10,1624537074, 0, 24, 298, 283, 98, 0.27%, 0, 0, 2, 24.09
AFLfast,jpegtran,10,1624537079, 0, 24, 306, 291, 98, 0.27%, 0, 0, 2, 21.91
AFLfast,jpegtran,10,1624537136, 0, 24, 307, 292, 98, 0.27%, 0, 0, 2, 19.23
AFLfast,jpegtran,10,1624537141, 0, 24, 310, 295, 98, 0.27%, 0, 0, 2, 25.08
AFLfast,jpegtran,10,1624537157, 0, 24, 313, 298, 98, 0.27%, 0, 0, 2, 27.08
AFLfast,jpegtran,10,1624537177, 0, 24, 314, 299, 98, 0.27%, 0, 0, 2, 28.83
AFLfast,jpegtran,10,1624537182, 0, 24, 316, 301, 98, 0.27%, 0, 0, 2, 23.15
AFLfast,jpegtran,10,1624537239, 0, 24, 317, 302, 98, 0.27%, 0, 0, 2, 13.12
AFLfast,jpegtran,10,1624537254, 0, 24, 318, 303, 98, 0.27%, 0, 0, 2, 28.08
AFLfast,jpegtran,10,1624537275, 0, 24, 320, 305, 98, 0.27%, 0, 0, 2, 29.56
AFLfast,jpegtran,10,1624537290, 0, 24, 321, 306, 98, 0.27%, 0, 0, 2, 23.81
AFLfast,jpegtran,10,1624537445, 0, 24, 323, 308, 98, 0.27%, 0, 0, 2, 11.08
AFLfast,jpegtran,10,1624537466, 0, 24, 325, 310, 98, 0.27%, 0, 0, 2, 39.67
AFLfast,jpegtran,10,1624537471, 0, 24, 326, 311, 98, 0.27%, 0, 0, 2, 31.21
AFLfast,jpegtran,10,1624537569, 0, 24, 328, 313, 98, 0.27%, 0, 0, 2, 26.94
AFLfast,jpegtran,10,1624537600, 0, 24, 329, 314, 98, 0.27%, 0, 0, 2, 27.35
AFLfast,jpegtran,10,1624537646, 0, 24, 330, 315, 98, 0.27%, 0, 0, 2, 30.06
AFLfast,jpegtran,10,1624537677, 0, 24, 333, 318, 98, 0.27%, 0, 0, 2, 24.15
AFLfast,jpegtran,10,1624538206, 0, 24, 334, 319, 98, 0.27%, 0, 0, 2, 26.47
AFLfast,jpegtran,10,1624538216, 0, 26, 337, 321, 114, 0.27%, 0, 0, 2, 25.44
AFLfast,jpegtran,10,1624538273, 0, 26, 342, 326, 114, 0.27%, 0, 0, 2, 19.52
AFLfast,jpegtran,10,1624538279, 0, 26, 347, 331, 114, 0.27%, 0, 0, 2, 18.77
AFLfast,jpegtran,10,1624538284, 0, 26, 349, 333, 114, 0.27%, 0, 0, 2, 23.33
AFLfast,jpegtran,10,1624538289, 0, 26, 352, 336, 114, 0.27%, 0, 0, 2, 23.41
AFLfast,jpegtran,10,1624538294, 0, 26, 356, 340, 114, 0.27%, 0, 0, 2, 22.60
AFLfast,jpegtran,10,1624538299, 0, 26, 358, 342, 114, 0.27%, 0, 0, 2, 25.07
AFLfast,jpegtran,10,1624538304, 0, 26, 361, 345, 114, 0.27%, 0, 0, 2, 22.89
AFLfast,jpegtran,10,1624538320, 0, 26, 362, 346, 114, 0.27%, 0, 0, 2, 29.87
AFLfast,jpegtran,10,1624538325, 0, 26, 364, 348, 114, 0.27%, 0, 0, 2, 25.81
AFLfast,jpegtran,10,1624538340, 0, 26, 365, 349, 114, 0.27%, 0, 0, 2, 22.69
AFLfast,jpegtran,10,1624538345, 0, 26, 366, 350, 114, 0.27%, 0, 0, 2, 20.42
AFLfast,jpegtran,10,1624538350, 0, 26, 367, 351, 114, 0.27%, 0, 0, 2, 20.52
AFLfast,jpegtran,10,1624538402, 0, 26, 369, 353, 114, 0.27%, 0, 0, 2, 21.99
AFLfast,jpegtran,10,1624538454, 0, 26, 371, 355, 114, 0.27%, 0, 0, 2, 8.37
AFLfast,jpegtran,10,1624538474, 0, 26, 374, 358, 114, 0.27%, 0, 0, 2, 23.15
AFLfast,jpegtran,10,1624538495, 0, 26, 375, 359, 114, 0.27%, 0, 0, 2, 27.96
AFLfast,jpegtran,10,1624538562, 0, 26, 377, 361, 114, 0.27%, 0, 0, 2, 21.14
AFLfast,jpegtran,10,1624538654, 0, 26, 378, 362, 114, 0.27%, 0, 0, 2, 16.68
AFLfast,jpegtran,10,1624538751, 0, 26, 379, 363, 114, 0.27%, 0, 0, 2, 25.68
AFLfast,jpegtran,10,1624538901, 0, 26, 380, 364, 114, 0.27%, 0, 0, 2, 12.72
AFLfast,jpegtran,10,1624538906, 0, 26, 381, 365, 114, 0.27%, 0, 0, 2, 8.85
AFLfast,jpegtran,10,1624538911, 0, 26, 382, 366, 114, 0.27%, 0, 0, 2, 7.51
AFLfast,jpegtran,10,1624538922, 0, 26, 383, 367, 114, 0.27%, 0, 0, 2, 26.66
AFLfast,jpegtran,10,1624539020, 0, 26, 386, 370, 114, 0.27%, 0, 0, 2, 26.37
AFLfast,jpegtran,10,1624539025, 0, 26, 387, 371, 114, 0.27%, 0, 0, 2, 24.06
AFLfast,jpegtran,10,1624539030, 0, 26, 388, 372, 114, 0.27%, 0, 0, 2, 22.87
AFLfast,jpegtran,10,1624539056, 0, 26, 389, 373, 114, 0.27%, 0, 0, 2, 23.28
AFLfast,jpegtran,10,1624539071, 0, 26, 390, 374, 114, 0.27%, 0, 0, 2, 28.67
AFLfast,jpegtran,10,1624539102, 0, 26, 391, 375, 114, 0.27%, 0, 0, 2, 28.60
AFLfast,jpegtran,10,1624539148, 0, 26, 392, 376, 114, 0.27%, 0, 0, 2, 25.08
AFLfast,jpegtran,10,1624539200, 0, 26, 393, 377, 114, 0.27%, 0, 0, 2, 24.26
AFLfast,jpegtran,10,1624539226, 0, 26, 394, 378, 114, 0.27%, 0, 0, 2, 24.89
AFLfast,jpegtran,10,1624539859, 0, 26, 395, 379, 114, 0.27%, 0, 0, 2, 23.86
AFLfast,jpegtran,10,1624539962, 0, 26, 397, 381, 114, 0.27%, 0, 0, 2, 25.34
AFLfast,jpegtran,10,1624540259, 0, 27, 397, 380, 118, 0.27%, 0, 0, 2, 4.09
AFLfast,jpegtran,10,1624540265, 0, 27, 399, 382, 118, 0.27%, 0, 0, 2, 28.62
AFLfast,jpegtran,10,1624540326, 0, 27, 400, 383, 118, 0.27%, 0, 0, 2, 28.44
AFLfast,jpegtran,10,1624540753, 0, 28, 400, 382, 118, 0.27%, 0, 0, 2, 33.33
AFLfast,jpegtran,10,1624540819, 0, 28, 402, 384, 118, 0.27%, 0, 0, 2, 3.33
AFLfast,jpegtran,10,1624540825, 0, 28, 406, 388, 118, 0.27%, 0, 0, 2, 24.90
AFLfast,jpegtran,10,1624540830, 0, 28, 409, 391, 118, 0.27%, 0, 0, 2, 12.80
AFLfast,jpegtran,10,1624540835, 0, 28, 410, 392, 118, 0.27%, 0, 0, 2, 23.10
