alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,jpegtran,14,1624530948, 0, 0, 31.82
AFLfast,jpegtran,14,1624530953, 0, 0, 27.78
AFLfast,jpegtran,14,1624530958, 0, 0, 50.13
AFLfast,jpegtran,14,1624530968, 0, 0, 20.63
AFLfast,jpegtran,14,1624530973, 0, 0, 46.69
AFLfast,jpegtran,14,1624530983, 0, 0, 45.89
AFLfast,jpegtran,14,1624530989, 0, 0, 3.29
AFLfast,jpegtran,14,1624530994, 0, 0, 27.61
AFLfast,jpegtran,14,1624531029, 0, 0, 33.36
AFLfast,jpegtran,14,1624531045, 0, 0, 27.93
AFLfast,jpegtran,14,1624531050, 0, 0, 2.43
AFLfast,jpegtran,14,1624531065, 0, 0, 22.29
AFLfast,jpegtran,14,1624531070, 0, 0, 24.52
AFLfast,jpegtran,14,1624531101, 0, 0, 30.72
AFLfast,jpegtran,14,1624531268, 0, 0, 2.74
AFLfast,jpegtran,14,1624531373, 0, 0, 5.00
AFLfast,jpegtran,14,1624531378, 0, 0, 4.72
AFLfast,jpegtran,14,1624531409, 0, 0, 3.00
AFLfast,jpegtran,14,1624531414, 0, 0, 29.05
AFLfast,jpegtran,14,1624531419, 0, 0, 28.87
AFLfast,jpegtran,14,1624531461, 0, 0, 25.38
AFLfast,jpegtran,14,1624531466, 0, 0, 29.44
AFLfast,jpegtran,14,1624531471, 0, 0, 28.84
AFLfast,jpegtran,14,1624531476, 0, 0, 23.80
AFLfast,jpegtran,14,1624531481, 0, 0, 27.95
AFLfast,jpegtran,14,1624531491, 0, 0, 25.22
AFLfast,jpegtran,14,1624531574, 0, 0, 30.27
AFLfast,jpegtran,14,1624531584, 0, 0, 29.10
AFLfast,jpegtran,14,1624531594, 0, 0, 29.66
AFLfast,jpegtran,14,1624531631, 0, 0, 2.84
AFLfast,jpegtran,14,1624531677, 0, 0, 29.39
AFLfast,jpegtran,14,1624531687, 0, 0, 30.35
AFLfast,jpegtran,14,1624531754, 0, 0, 30.59
AFLfast,jpegtran,14,1624531857, 0, 0, 31.06
AFLfast,jpegtran,14,1624531877, 0, 0, 30.97
AFLfast,jpegtran,14,1624531938, 0, 0, 28.95
AFLfast,jpegtran,14,1624531974, 0, 0, 28.11
AFLfast,jpegtran,14,1624532359, 0, 0, 28.63
AFLfast,jpegtran,14,1624532370, 0, 0, 26.34
AFLfast,jpegtran,14,1624532380, 0, 0, 19.39
AFLfast,jpegtran,14,1624532401, 0, 0, 20.62
AFLfast,jpegtran,14,1624532438, 0, 0, 20.97
AFLfast,jpegtran,14,1624532517, 0, 0, 20.55
AFLfast,jpegtran,14,1624532673, 0, 0, 3.54
AFLfast,jpegtran,14,1624532740, 0, 0, 17.53
AFLfast,jpegtran,14,1624532746, 0, 0, 25.67
AFLfast,jpegtran,14,1624532761, 0, 0, 2.43
AFLfast,jpegtran,14,1624532797, 0, 0, 23.45
AFLfast,jpegtran,14,1624532864, 0, 0, 29.11
AFLfast,jpegtran,14,1624532875, 0, 0, 3.20
AFLfast,jpegtran,14,1624533029, 0, 0, 22.46
AFLfast,jpegtran,14,1624533194, 0, 0, 1.62
AFLfast,jpegtran,14,1624533251, 0, 0, 29.18
AFLfast,jpegtran,14,1624533880, 0, 0, 4.72
AFLfast,jpegtran,14,1624534010, 0, 0, 45.00
AFLfast,jpegtran,14,1624534087, 0, 0, 30.19
AFLfast,jpegtran,14,1624534221, 0, 0, 28.63
AFLfast,jpegtran,14,1624534226, 0, 0, 29.88
AFLfast,jpegtran,14,1624535064, 0, 0, 28.79
AFLfast,jpegtran,14,1624535074, 0, 0, 28.49
AFLfast,jpegtran,14,1624535079, 0, 0, 11.98
AFLfast,jpegtran,14,1624535089, 0, 0, 26.08
AFLfast,jpegtran,14,1624535465, 0, 0, 27.96
AFLfast,jpegtran,14,1624535589, 0, 0, 29.33
AFLfast,jpegtran,14,1624535595, 0, 0, 4.59
AFLfast,jpegtran,14,1624535600, 0, 0, 30.88
AFLfast,jpegtran,14,1624535786, 0, 0, 29.09
AFLfast,jpegtran,14,1624535905, 0, 0, 29.55
AFLfast,jpegtran,14,1624536196, 0, 0, 31.66
AFLfast,jpegtran,14,1624536253, 0, 0, 29.99
