alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,pngtest,10,1624550954, 0, 0, 9.86
AFLfast,pngtest,10,1624557297, 0, 1, 5.03
AFLfast,pngtest,10,1624558468, 0, 2, 4.74
AFLfast,pngtest,10,1624561566, 0, 2, 7.33
AFLfast,pngtest,10,1624567596, 0, 2, 17.77
AFLfast,pngtest,10,1624571983, 0, 2, 13.64
AFLfast,pngtest,10,1624576682, 0, 2, 17.77
AFLfast,pngtest,10,1624581402, 0, 2, 17.36
AFLfast,pngtest,10,1624583452, 0, 2, 19.16
AFLfast,pngtest,10,1624584182, 0, 2, 18.33
AFLfast,pngtest,10,1624584658, 0, 2, 18.75
AFLfast,pngtest,10,1624585236, 0, 2, 18.58
AFLfast,pngtest,10,1624585754, 0, 2, 19.22
AFLfast,pngtest,10,1624586639, 0, 2, 19.21
AFLfast,pngtest,10,1624587416, 0, 2, 19.24
AFLfast,pngtest,10,1624588292, 0, 2, 19.02
AFLfast,pngtest,10,1624588676, 0, 2, 19.16
AFLfast,pngtest,10,1624589074, 0, 2, 19.33
AFLfast,pngtest,10,1624589605, 0, 2, 19.10
AFLfast,pngtest,10,1624590096, 0, 2, 19.47
AFLfast,pngtest,10,1624590573, 0, 2, 19.26
AFLfast,pngtest,10,1624591074, 0, 2, 19.34
AFLfast,pngtest,10,1624591586, 0, 2, 0.00
AFLfast,pngtest,10,1624591591, 0, 2, 0.00
AFLfast,pngtest,10,1624591596, 0, 2, 0.00
AFLfast,pngtest,10,1624591601, 0, 2, 0.00
AFLfast,pngtest,10,1624591606, 0, 2, 0.00
AFLfast,pngtest,10,1624591611, 0, 2, 0.00
AFLfast,pngtest,10,1624591616, 0, 2, 0.00
AFLfast,pngtest,10,1624591622, 0, 2, 0.00
AFLfast,pngtest,10,1624591627, 0, 2, 0.00
AFLfast,pngtest,10,1624591632, 0, 2, 0.00
AFLfast,pngtest,10,1624591637, 0, 2, 0.00
AFLfast,pngtest,10,1624591642, 0, 2, 0.00
AFLfast,pngtest,10,1624591647, 0, 2, 0.00
AFLfast,pngtest,10,1624591652, 0, 2, 0.00
AFLfast,pngtest,10,1624591657, 0, 2, 0.00
AFLfast,pngtest,10,1624591663, 0, 2, 0.00
AFLfast,pngtest,10,1624591668, 0, 2, 0.00
AFLfast,pngtest,10,1624591673, 0, 2, 0.00
AFLfast,pngtest,10,1624591678, 0, 2, 0.00
AFLfast,pngtest,10,1624591683, 0, 2, 0.00
AFLfast,pngtest,10,1624591688, 0, 2, 0.00
AFLfast,pngtest,10,1624591693, 0, 2, 0.00
AFLfast,pngtest,10,1624591698, 0, 2, 0.00
AFLfast,pngtest,10,1624591703, 0, 2, 0.00
AFLfast,pngtest,10,1624591708, 0, 2, 0.00
AFLfast,pngtest,10,1624591714, 0, 2, 0.00
AFLfast,pngtest,10,1624591719, 0, 2, 0.00
AFLfast,pngtest,10,1624591724, 0, 2, 0.00
AFLfast,pngtest,10,1624591729, 0, 2, 0.00
AFLfast,pngtest,10,1624591734, 0, 2, 0.00
AFLfast,pngtest,10,1624591739, 0, 2, 0.00
AFLfast,pngtest,10,1624591744, 0, 2, 0.00
AFLfast,pngtest,10,1624591749, 0, 2, 0.00
AFLfast,pngtest,10,1624591754, 0, 2, 0.00
AFLfast,pngtest,10,1624591759, 0, 2, 0.00
AFLfast,pngtest,10,1624591764, 0, 2, 0.00
AFLfast,pngtest,10,1624591770, 0, 2, 0.00
AFLfast,pngtest,10,1624591775, 0, 2, 0.00
AFLfast,pngtest,10,1624591780, 0, 2, 0.00
AFLfast,pngtest,10,1624591785, 0, 2, 0.00
AFLfast,pngtest,10,1624591790, 0, 2, 0.00
AFLfast,pngtest,10,1624591795, 0, 2, 0.00
AFLfast,pngtest,10,1624591800, 0, 2, 0.00
AFLfast,pngtest,10,1624591805, 0, 2, 0.00
AFLfast,pngtest,10,1624591810, 0, 2, 0.00
AFLfast,pngtest,10,1624591816, 0, 2, 0.00
AFLfast,pngtest,10,1624591821, 0, 2, 0.00
AFLfast,pngtest,10,1624591826, 0, 2, 0.00
AFLfast,pngtest,10,1624591831, 0, 2, 0.00
AFLfast,pngtest,10,1624591836, 0, 2, 0.00
AFLfast,pngtest,10,1624591841, 0, 2, 0.00
AFLfast,pngtest,10,1624591846, 0, 2, 0.00
AFLfast,pngtest,10,1624591852, 0, 2, 0.00
AFLfast,pngtest,10,1624591857, 0, 2, 0.00
AFLfast,pngtest,10,1624591862, 0, 2, 0.00
AFLfast,pngtest,10,1624591867, 0, 2, 0.00
AFLfast,pngtest,10,1624591872, 0, 2, 0.00
AFLfast,pngtest,10,1624591877, 0, 2, 0.00
AFLfast,pngtest,10,1624591882, 0, 2, 0.00
AFLfast,pngtest,10,1624591887, 0, 2, 0.00
AFLfast,pngtest,10,1624591892, 0, 2, 0.00
AFLfast,pngtest,10,1624591898, 0, 2, 0.00
AFLfast,pngtest,10,1624591903, 0, 2, 0.00
AFLfast,pngtest,10,1624591908, 0, 2, 0.00
AFLfast,pngtest,10,1624591913, 0, 2, 0.00
AFLfast,pngtest,10,1624591918, 0, 2, 0.00
AFLfast,pngtest,10,1624591923, 0, 2, 0.00
AFLfast,pngtest,10,1624591928, 0, 2, 0.00
AFLfast,pngtest,10,1624591933, 0, 2, 0.00
AFLfast,pngtest,10,1624591938, 0, 2, 0.00
AFLfast,pngtest,10,1624591944, 0, 2, 0.00
AFLfast,pngtest,10,1624591949, 0, 2, 0.00
AFLfast,pngtest,10,1624591954, 0, 2, 0.00
AFLfast,pngtest,10,1624591959, 0, 2, 0.00
AFLfast,pngtest,10,1624591964, 0, 2, 0.00
AFLfast,pngtest,10,1624591969, 0, 2, 0.00
AFLfast,pngtest,10,1624591975, 0, 2, 0.00
AFLfast,pngtest,10,1624591980, 0, 2, 0.00
AFLfast,pngtest,10,1624591985, 0, 2, 0.00
AFLfast,pngtest,10,1624591990, 0, 2, 0.00
AFLfast,pngtest,10,1624591995, 0, 2, 0.00
AFLfast,pngtest,10,1624592000, 0, 2, 0.00
AFLfast,pngtest,10,1624592005, 0, 2, 0.00
AFLfast,pngtest,10,1624592011, 0, 2, 0.00
AFLfast,pngtest,10,1624592016, 0, 2, 0.00
AFLfast,pngtest,10,1624592021, 0, 2, 0.00
AFLfast,pngtest,10,1624592026, 0, 2, 0.00
AFLfast,pngtest,10,1624592031, 0, 2, 0.00
AFLfast,pngtest,10,1624592036, 0, 2, 0.00
AFLfast,pngtest,10,1624592041, 0, 2, 0.00
AFLfast,pngtest,10,1624592046, 0, 2, 0.00
AFLfast,pngtest,10,1624592052, 0, 2, 0.00
AFLfast,pngtest,10,1624592057, 0, 2, 0.00
AFLfast,pngtest,10,1624592062, 0, 2, 0.00
AFLfast,pngtest,10,1624592067, 0, 2, 0.00
