alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
AFLfast,pngtest,13,1624551094, 0, 0, 18, 18, 0, 0.00%, 0, 0, 1, 8.84
AFLfast,pngtest,13,1624551638, 0, 1, 18, 17, 0, 0.00%, 0, 0, 1, 9.58
AFLfast,pngtest,13,1624552705, 0, 2, 18, 16, 0, 0.00%, 0, 0, 1, 9.59
AFLfast,pngtest,13,1624553959, 0, 3, 18, 15, 0, 0.00%, 0, 0, 1, 9.59
AFLfast,pngtest,13,1624559142, 0, 4, 18, 14, 0, 0.00%, 0, 0, 1, 5.11
AFLfast,pngtest,13,1624562896, 0, 5, 18, 13, 0, 0.00%, 0, 0, 1, 8.60
AFLfast,pngtest,13,1624565673, 0, 6, 18, 12, 0, 0.00%, 0, 0, 1, 18.41
AFLfast,pngtest,13,1624567551, 0, 7, 18, 11, 0, 0.00%, 0, 0, 1, 15.23
AFLfast,pngtest,13,1624569339, 0, 8, 18, 10, 0, 0.00%, 0, 0, 1, 18.91
AFLfast,pngtest,13,1624581416, 0, 9, 18, 9, 0, 0.00%, 0, 0, 1, 19.09
AFLfast,pngtest,13,1624583064, 0, 10, 18, 8, 0, 0.00%, 0, 0, 1, 18.91
AFLfast,pngtest,13,1624583546, 0, 11, 18, 7, 0, 0.00%, 0, 0, 1, 19.08
AFLfast,pngtest,13,1624586938, 0, 12, 18, 6, 0, 0.00%, 0, 0, 1, 19.12
AFLfast,pngtest,13,1624590319, 0, 13, 18, 5, 0, 0.00%, 0, 0, 1, 19.25
AFLfast,pngtest,13,1624593723, 0, 14, 18, 4, 0, 0.00%, 0, 0, 1, 19.57
AFLfast,pngtest,13,1624598360, 0, 15, 18, 3, 0, 0.00%, 0, 0, 1, 13.91
AFLfast,pngtest,13,1624600024, 0, 16, 18, 2, 0, 0.00%, 0, 0, 1, 18.70
AFLfast,pngtest,13,1624602455, 0, 17, 18, 1, 0, 0.00%, 0, 0, 1, 20.91
AFLfast,pngtest,13,1624604400, 195, 0, 18, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,pngtest,13,1624604405, 639, 0, 18, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,pngtest,13,1624604410, 1081, 0, 18, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,pngtest,13,1624604415, 1519, 0, 18, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,pngtest,13,1624604420, 1947, 0, 18, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,pngtest,13,1624604425, 2397, 0, 18, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,pngtest,13,1624604430, 2834, 0, 18, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,pngtest,13,1624604435, 3270, 0, 18, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,pngtest,13,1624604441, 3708, 0, 18, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,pngtest,13,1624604446, 4158, 0, 18, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,pngtest,13,1624604451, 4595, 0, 18, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,pngtest,13,1624604456, 5053, 0, 18, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,pngtest,13,1624604461, 5483, 0, 18, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,pngtest,13,1624604466, 5919, 0, 18, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,pngtest,13,1624604472, 6349, 0, 18, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,pngtest,13,1624604477, 6795, 0, 18, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,pngtest,13,1624604482, 7229, 0, 18, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,pngtest,13,1624604487, 7663, 0, 18, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,pngtest,13,1624604492, 8098, 0, 18, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,pngtest,13,1624604497, 8538, 0, 18, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,pngtest,13,1624604502, 8981, 0, 18, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,pngtest,13,1624604507, 9431, 0, 18, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,pngtest,13,1624604512, 9867, 0, 18, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,pngtest,13,1624604518, 10300, 0, 18, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,pngtest,13,1624604523, 10729, 0, 18, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,pngtest,13,1624604528, 11184, 0, 18, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,pngtest,13,1624604533, 11624, 0, 18, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,pngtest,13,1624604538, 12081, 0, 18, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,pngtest,13,1624604544, 12527, 0, 18, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,pngtest,13,1624604549, 12973, 0, 18, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,pngtest,13,1624604554, 13405, 0, 18, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,pngtest,13,1624604559, 13850, 0, 18, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,pngtest,13,1624604564, 14293, 0, 18, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,pngtest,13,1624604569, 14719, 0, 18, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,pngtest,13,1624604575, 15183, 0, 18, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,pngtest,13,1624604580, 15615, 0, 18, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,pngtest,13,1624604585, 16046, 0, 18, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,pngtest,13,1624604590, 16475, 0, 18, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,pngtest,13,1624604595, 16911, 0, 18, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,pngtest,13,1624604600, 17343, 0, 18, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,pngtest,13,1624604605, 17791, 0, 18, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,pngtest,13,1624604610, 18225, 0, 18, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,pngtest,13,1624604615, 18660, 0, 18, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,pngtest,13,1624604621, 19095, 0, 18, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,pngtest,13,1624604626, 19549, 0, 18, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,pngtest,13,1624604631, 20008, 0, 18, 0, 0, 0.00%, 0, 0, 1, 0.00
AFLfast,pngtest,13,1624604636, 20451, 0, 18, 0, 0, 0.00%, 0, 0, 1, 0.00
