alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,tiffsplit,14,1624724824, 0, 0, 45.24
AFLfast,tiffsplit,14,1624724829, 0, 0, 64.18
AFLfast,tiffsplit,14,1624724834, 0, 0, 71.70
AFLfast,tiffsplit,14,1624724844, 0, 0, 74.46
AFLfast,tiffsplit,14,1624724849, 0, 0, 74.36
AFLfast,tiffsplit,14,1624724926, 0, 0, 71.65
AFLfast,tiffsplit,14,1624724941, 0, 0, 73.92
AFLfast,tiffsplit,14,1624724946, 0, 0, 80.47
AFLfast,tiffsplit,14,1624724982, 0, 0, 81.57
AFLfast,tiffsplit,14,1624725069, 0, 0, 83.70
AFLfast,tiffsplit,14,1624725074, 0, 0, 84.18
AFLfast,tiffsplit,14,1624725089, 0, 0, 79.64
AFLfast,tiffsplit,14,1624725432, 0, 0, 53.76
AFLfast,tiffsplit,14,1624725437, 0, 0, 49.98
AFLfast,tiffsplit,14,1624725442, 0, 0, 52.15
AFLfast,tiffsplit,14,1624725447, 0, 0, 53.97
AFLfast,tiffsplit,14,1624725452, 0, 0, 52.46
AFLfast,tiffsplit,14,1624725457, 0, 0, 57.98
AFLfast,tiffsplit,14,1624725462, 0, 0, 54.04
AFLfast,tiffsplit,14,1624725467, 0, 0, 57.92
AFLfast,tiffsplit,14,1624725800, 0, 0, 57.62
AFLfast,tiffsplit,14,1624725805, 0, 0, 55.98
AFLfast,tiffsplit,14,1624725811, 1, 0, 55.84
AFLfast,tiffsplit,14,1624725816, 1, 0, 60.40
AFLfast,tiffsplit,14,1624725821, 1, 0, 65.72
AFLfast,tiffsplit,14,1624726158, 1, 0, 63.55
AFLfast,tiffsplit,14,1624726163, 1, 0, 61.08
AFLfast,tiffsplit,14,1624726168, 1, 0, 62.95
AFLfast,tiffsplit,14,1624726235, 1, 0, 67.85
AFLfast,tiffsplit,14,1624726240, 1, 0, 77.28
AFLfast,tiffsplit,14,1624726245, 1, 0, 64.52
AFLfast,tiffsplit,14,1624726255, 1, 0, 65.99
AFLfast,tiffsplit,14,1624726266, 2, 0, 57.17
AFLfast,tiffsplit,14,1624726271, 2, 0, 74.40
