alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
AFLfast,tiffsplit,4,1624724179, 0, 0, 19, 19, 13, 0.18%, 0, 0, 1, 146.58
AFLfast,tiffsplit,4,1624724184, 0, 0, 37, 37, 13, 0.18%, 0, 0, 2, 78.42
AFLfast,tiffsplit,4,1624724189, 0, 0, 40, 40, 13, 0.18%, 0, 0, 2, 56.34
AFLfast,tiffsplit,4,1624724194, 0, 0, 41, 41, 13, 0.18%, 0, 0, 2, 52.97
AFLfast,tiffsplit,4,1624724199, 0, 0, 43, 43, 13, 0.18%, 0, 0, 2, 51.41
AFLfast,tiffsplit,4,1624724204, 0, 0, 47, 47, 13, 0.18%, 0, 0, 2, 49.74
AFLfast,tiffsplit,4,1624724209, 0, 0, 52, 52, 13, 0.18%, 0, 0, 2, 43.63
AFLfast,tiffsplit,4,1624724214, 0, 0, 53, 53, 13, 0.18%, 0, 0, 2, 42.77
AFLfast,tiffsplit,4,1624724225, 0, 0, 54, 54, 13, 0.18%, 0, 0, 2, 41.72
AFLfast,tiffsplit,4,1624724230, 0, 0, 56, 56, 13, 0.18%, 0, 0, 2, 43.04
AFLfast,tiffsplit,4,1624724240, 0, 0, 57, 57, 13, 0.18%, 0, 0, 2, 43.14
AFLfast,tiffsplit,4,1624724255, 0, 0, 58, 58, 13, 0.18%, 0, 0, 2, 40.46
AFLfast,tiffsplit,4,1624724297, 0, 0, 59, 59, 13, 0.18%, 0, 0, 2, 29.45
AFLfast,tiffsplit,4,1624724312, 0, 0, 61, 61, 13, 0.18%, 0, 0, 2, 42.85
AFLfast,tiffsplit,4,1624724322, 0, 0, 62, 62, 13, 0.18%, 0, 0, 2, 43.54
AFLfast,tiffsplit,4,1624724338, 0, 0, 63, 63, 13, 0.18%, 0, 0, 2, 42.41
AFLfast,tiffsplit,4,1624724348, 0, 0, 65, 65, 13, 0.18%, 0, 0, 2, 42.12
AFLfast,tiffsplit,4,1624724491, 0, 0, 66, 66, 13, 0.18%, 0, 0, 2, 25.70
AFLfast,tiffsplit,4,1624724496, 0, 0, 67, 67, 13, 0.18%, 0, 0, 2, 25.60
AFLfast,tiffsplit,4,1624724516, 0, 0, 68, 68, 13, 0.18%, 0, 0, 2, 27.68
AFLfast,tiffsplit,4,1624724532, 0, 0, 69, 69, 13, 0.18%, 0, 0, 2, 27.39
AFLfast,tiffsplit,4,1624724542, 0, 0, 70, 70, 13, 0.18%, 0, 0, 2, 27.17
AFLfast,tiffsplit,4,1624724552, 0, 0, 71, 71, 13, 0.18%, 0, 0, 2, 27.37
AFLfast,tiffsplit,4,1624724557, 0, 0, 72, 72, 13, 0.18%, 0, 0, 2, 27.30
AFLfast,tiffsplit,4,1624724572, 0, 0, 73, 73, 13, 0.18%, 0, 0, 2, 25.80
AFLfast,tiffsplit,4,1624724684, 0, 0, 74, 74, 13, 0.18%, 0, 0, 2, 21.05
AFLfast,tiffsplit,4,1624724853, 0, 0, 75, 75, 13, 0.18%, 0, 0, 2, 16.35
AFLfast,tiffsplit,4,1624724909, 0, 0, 76, 76, 13, 0.18%, 0, 0, 2, 16.99
AFLfast,tiffsplit,4,1624724991, 0, 0, 77, 77, 13, 0.18%, 0, 0, 2, 16.48
AFLfast,tiffsplit,4,1624724996, 0, 0, 78, 78, 13, 0.18%, 0, 0, 2, 16.97
AFLfast,tiffsplit,4,1624725130, 0, 0, 79, 79, 13, 0.18%, 0, 0, 2, 16.58
AFLfast,tiffsplit,4,1624727545, 0, 0, 82, 82, 13, 0.18%, 0, 0, 2, 29.10
AFLfast,tiffsplit,4,1624727550, 0, 0, 88, 88, 13, 0.18%, 0, 0, 2, 22.94
AFLfast,tiffsplit,4,1624727555, 0, 0, 89, 89, 13, 0.18%, 0, 0, 2, 20.49
AFLfast,tiffsplit,4,1624727802, 0, 0, 90, 90, 13, 0.18%, 0, 0, 2, 20.41
AFLfast,tiffsplit,4,1624728017, 0, 0, 91, 91, 13, 0.18%, 0, 0, 2, 19.66
AFLfast,tiffsplit,4,1624728386, 0, 0, 92, 92, 13, 0.18%, 0, 0, 2, 18.32
AFLfast,tiffsplit,4,1624728622, 0, 0, 94, 94, 13, 0.18%, 0, 0, 2, 18.94
AFLfast,tiffsplit,4,1624731363, 0, 0, 97, 97, 13, 0.18%, 0, 0, 2, 21.89
AFLfast,tiffsplit,4,1624731368, 0, 0, 100, 100, 13, 0.18%, 0, 0, 2, 19.33
AFLfast,tiffsplit,4,1624731379, 0, 0, 101, 101, 13, 0.18%, 0, 0, 2, 18.89
AFLfast,tiffsplit,4,1624731476, 0, 0, 102, 102, 13, 0.18%, 0, 0, 2, 20.41
AFLfast,tiffsplit,4,1624731958, 0, 0, 103, 103, 13, 0.18%, 0, 0, 2, 18.16
AFLfast,tiffsplit,4,1624732229, 0, 0, 105, 105, 13, 0.18%, 0, 0, 2, 18.97
AFLfast,tiffsplit,4,1624735240, 0, 0, 106, 106, 13, 0.18%, 0, 0, 2, 21.89
AFLfast,tiffsplit,4,1624735245, 0, 0, 107, 107, 13, 0.18%, 0, 0, 2, 19.80
AFLfast,tiffsplit,4,1624736722, 0, 0, 109, 109, 13, 0.18%, 0, 0, 2, 63.16
AFLfast,tiffsplit,4,1624736727, 0, 0, 115, 115, 13, 0.18%, 0, 0, 2, 8.72
AFLfast,tiffsplit,4,1624736763, 0, 0, 134, 134, 13, 0.18%, 0, 0, 2, 35.76
AFLfast,tiffsplit,4,1624736768, 0, 0, 139, 139, 13, 0.18%, 0, 0, 2, 24.77
AFLfast,tiffsplit,4,1624736773, 0, 0, 140, 140, 13, 0.18%, 0, 0, 2, 19.02
AFLfast,tiffsplit,4,1624738710, 0, 0, 141, 141, 13, 0.18%, 0, 0, 2, 17.55
AFLfast,tiffsplit,4,1624744339, 0, 0, 142, 142, 13, 0.18%, 0, 0, 2, 18.78
AFLfast,tiffsplit,4,1624764980, 0, 0, 144, 144, 13, 0.18%, 0, 0, 2, 26.82
AFLfast,tiffsplit,4,1624764985, 0, 0, 147, 147, 13, 0.18%, 0, 0, 2, 26.51
AFLfast,tiffsplit,4,1624765200, 0, 0, 148, 148, 13, 0.18%, 0, 0, 2, 16.59
AFLfast,tiffsplit,4,1624771469, 0, 0, 150, 150, 13, 0.18%, 0, 0, 2, 23.28
AFLfast,tiffsplit,4,1624771740, 0, 0, 156, 156, 13, 0.18%, 0, 0, 2, 14.99
AFLfast,tiffsplit,4,1624771750, 0, 0, 158, 158, 13, 0.18%, 0, 0, 2, 21.39
AFLfast,tiffsplit,4,1624771755, 0, 0, 161, 161, 13, 0.18%, 0, 0, 2, 31.48
AFLfast,tiffsplit,4,1624771761, 0, 0, 171, 171, 13, 0.18%, 0, 0, 2, 27.03
AFLfast,tiffsplit,4,1624771766, 0, 0, 172, 172, 13, 0.18%, 0, 0, 2, 25.53
AFLfast,tiffsplit,4,1624771781, 0, 0, 173, 173, 13, 0.18%, 0, 0, 2, 27.51
AFLfast,tiffsplit,4,1624771801, 0, 0, 174, 174, 13, 0.18%, 0, 0, 2, 26.63
AFLfast,tiffsplit,4,1624771807, 0, 0, 176, 176, 13, 0.18%, 0, 0, 2, 18.80
AFLfast,tiffsplit,4,1624771827, 0, 0, 177, 177, 13, 0.18%, 0, 0, 2, 41.61
AFLfast,tiffsplit,4,1624771873, 0, 0, 178, 178, 13, 0.18%, 0, 0, 2, 43.16
AFLfast,tiffsplit,4,1624771883, 0, 0, 179, 179, 13, 0.18%, 0, 0, 2, 38.99
AFLfast,tiffsplit,4,1624771894, 0, 0, 180, 180, 13, 0.18%, 0, 0, 2, 18.37
AFLfast,tiffsplit,4,1624771904, 0, 0, 181, 181, 13, 0.18%, 0, 0, 2, 17.29
AFLfast,tiffsplit,4,1624771919, 0, 0, 182, 182, 13, 0.18%, 0, 0, 2, 17.41
AFLfast,tiffsplit,4,1624772027, 0, 0, 183, 183, 13, 0.18%, 0, 0, 2, 17.09
AFLfast,tiffsplit,4,1624772032, 0, 0, 184, 184, 13, 0.18%, 0, 0, 2, 17.48
AFLfast,tiffsplit,4,1624772047, 0, 0, 185, 185, 13, 0.18%, 0, 0, 2, 17.08
AFLfast,tiffsplit,4,1624772114, 0, 0, 186, 186, 13, 0.18%, 0, 0, 2, 16.94
AFLfast,tiffsplit,4,1624773041, 0, 0, 187, 187, 13, 0.18%, 0, 0, 2, 16.78
AFLfast,tiffsplit,4,1624773046, 0, 0, 188, 188, 13, 0.18%, 0, 0, 2, 14.53
AFLfast,tiffsplit,4,1624773256, 0, 0, 189, 189, 13, 0.18%, 0, 0, 2, 16.84
AFLfast,tiffsplit,4,1624773527, 0, 0, 190, 190, 13, 0.18%, 0, 0, 2, 16.93
AFLfast,tiffsplit,4,1624773634, 0, 0, 191, 191, 13, 0.18%, 0, 0, 2, 16.89
AFLfast,tiffsplit,4,1624773767, 0, 0, 192, 192, 13, 0.18%, 0, 0, 2, 16.80
AFLfast,tiffsplit,4,1624773839, 0, 0, 193, 193, 13, 0.18%, 0, 0, 2, 16.84
AFLfast,tiffsplit,4,1624773844, 0, 0, 194, 194, 13, 0.18%, 0, 0, 2, 16.82
AFLfast,tiffsplit,4,1624773977, 0, 0, 195, 195, 13, 0.18%, 0, 0, 2, 16.93
AFLfast,tiffsplit,4,1624774522, 0, 0, 196, 196, 13, 0.18%, 0, 0, 2, 17.36
AFLfast,tiffsplit,4,1624774553, 0, 0, 197, 197, 13, 0.18%, 0, 0, 2, 17.09
AFLfast,tiffsplit,4,1624774824, 0, 0, 198, 198, 13, 0.18%, 0, 0, 2, 17.70
AFLfast,tiffsplit,4,1624775127, 0, 0, 199, 199, 13, 0.18%, 0, 0, 2, 17.46
AFLfast,tiffsplit,4,1624775511, 0, 0, 200, 200, 13, 0.18%, 0, 0, 2, 17.09
AFLfast,tiffsplit,4,1624775614, 0, 0, 201, 201, 13, 0.18%, 0, 0, 2, 16.96
AFLfast,tiffsplit,4,1624775650, 0, 0, 202, 202, 13, 0.18%, 0, 0, 2, 17.20
AFLfast,tiffsplit,4,1624775890, 0, 0, 203, 203, 13, 0.18%, 0, 0, 2, 17.30
AFLfast,tiffsplit,4,1624776249, 0, 0, 204, 204, 13, 0.18%, 0, 0, 2, 16.96
AFLfast,tiffsplit,4,1624777479, 0, 0, 205, 205, 13, 0.18%, 0, 0, 2, 16.98
AFLfast,tiffsplit,4,1624777929, 0, 0, 206, 206, 13, 0.18%, 0, 0, 2, 16.91
