alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
AFLfast,xmllint,5,1624790130, 0, 0, 41, 41, 26, 0.52%, 0, 0, 1, 32.12
AFLfast,xmllint,5,1624790135, 0, 0, 57, 57, 26, 0.53%, 0, 0, 2, 36.50
AFLfast,xmllint,5,1624790140, 0, 0, 72, 72, 26, 0.54%, 0, 0, 2, 34.30
AFLfast,xmllint,5,1624790145, 0, 0, 88, 88, 26, 0.54%, 0, 0, 2, 34.92
AFLfast,xmllint,5,1624790150, 0, 0, 101, 101, 26, 0.55%, 0, 0, 2, 33.42
AFLfast,xmllint,5,1624790155, 0, 0, 117, 117, 26, 0.55%, 0, 0, 2, 32.91
AFLfast,xmllint,5,1624790160, 0, 0, 131, 131, 26, 0.55%, 0, 0, 2, 33.19
AFLfast,xmllint,5,1624790165, 0, 0, 144, 144, 26, 0.56%, 0, 0, 2, 33.20
AFLfast,xmllint,5,1624790171, 0, 0, 156, 156, 26, 0.56%, 0, 0, 2, 34.74
AFLfast,xmllint,5,1624790176, 0, 0, 167, 167, 26, 0.56%, 0, 0, 2, 34.97
AFLfast,xmllint,5,1624790181, 0, 0, 175, 175, 26, 0.56%, 0, 0, 2, 36.11
AFLfast,xmllint,5,1624790186, 0, 0, 178, 178, 26, 0.56%, 0, 0, 2, 39.43
AFLfast,xmllint,5,1624790191, 0, 0, 183, 183, 26, 0.56%, 0, 0, 2, 38.47
AFLfast,xmllint,5,1624790196, 0, 0, 198, 198, 26, 0.57%, 0, 0, 2, 35.39
AFLfast,xmllint,5,1624790201, 0, 0, 206, 206, 26, 0.57%, 0, 0, 2, 24.03
AFLfast,xmllint,5,1624790206, 0, 0, 213, 213, 26, 0.58%, 0, 0, 2, 18.46
AFLfast,xmllint,5,1624790211, 0, 0, 218, 218, 26, 0.58%, 0, 0, 2, 18.94
AFLfast,xmllint,5,1624790216, 0, 0, 221, 221, 26, 0.58%, 0, 0, 2, 20.56
AFLfast,xmllint,5,1624790221, 0, 0, 223, 223, 26, 0.58%, 0, 0, 2, 22.30
AFLfast,xmllint,5,1624790226, 0, 0, 227, 227, 26, 0.58%, 0, 0, 2, 19.96
AFLfast,xmllint,5,1624790231, 0, 0, 231, 231, 26, 0.58%, 0, 0, 2, 19.63
AFLfast,xmllint,5,1624790237, 0, 0, 233, 233, 26, 0.58%, 0, 0, 2, 18.92
AFLfast,xmllint,5,1624790242, 0, 0, 235, 235, 26, 0.58%, 0, 0, 2, 18.55
