alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,xmllint,9,1624790513, 0, 0, 21.59
AFLfast,xmllint,9,1624790518, 0, 0, 28.57
AFLfast,xmllint,9,1624790524, 0, 0, 30.11
AFLfast,xmllint,9,1624790529, 0, 0, 30.75
AFLfast,xmllint,9,1624790534, 0, 0, 30.35
AFLfast,xmllint,9,1624790539, 0, 0, 27.40
AFLfast,xmllint,9,1624790544, 0, 0, 28.92
AFLfast,xmllint,9,1624790549, 0, 0, 29.96
AFLfast,xmllint,9,1624790554, 0, 0, 28.95
AFLfast,xmllint,9,1624790559, 0, 0, 27.20
AFLfast,xmllint,9,1624790564, 0, 0, 29.16
AFLfast,xmllint,9,1624790570, 0, 0, 28.65
AFLfast,xmllint,9,1624790575, 0, 0, 28.24
AFLfast,xmllint,9,1624790580, 0, 0, 28.46
AFLfast,xmllint,9,1624790585, 0, 0, 31.54
AFLfast,xmllint,9,1624790590, 0, 0, 31.08
AFLfast,xmllint,9,1624790596, 0, 0, 32.53
AFLfast,xmllint,9,1624790601, 0, 0, 32.92
AFLfast,xmllint,9,1624790606, 0, 0, 30.64
AFLfast,xmllint,9,1624790611, 0, 0, 33.62
AFLfast,xmllint,9,1624790616, 0, 0, 34.20
AFLfast,xmllint,9,1624790626, 0, 0, 34.21
AFLfast,xmllint,9,1624790631, 0, 0, 33.33
AFLfast,xmllint,9,1624790636, 0, 0, 33.09
AFLfast,xmllint,9,1624790642, 0, 0, 31.77
AFLfast,xmllint,9,1624790647, 0, 0, 31.63
AFLfast,xmllint,9,1624790652, 0, 0, 31.50
AFLfast,xmllint,9,1624790657, 0, 0, 30.63
AFLfast,xmllint,9,1624790662, 0, 0, 22.61
AFLfast,xmllint,9,1624790667, 0, 0, 18.01
AFLfast,xmllint,9,1624790672, 0, 0, 14.99
AFLfast,xmllint,9,1624790677, 0, 0, 16.30
AFLfast,xmllint,9,1624790682, 0, 0, 16.49
AFLfast,xmllint,9,1624790688, 0, 0, 15.71
AFLfast,xmllint,9,1624790693, 0, 0, 15.17
AFLfast,xmllint,9,1624790698, 0, 0, 15.63
AFLfast,xmllint,9,1624790703, 0, 0, 16.14
AFLfast,xmllint,9,1624790708, 0, 0, 16.84
AFLfast,xmllint,9,1624790713, 0, 0, 17.35
AFLfast,xmllint,9,1624790724, 0, 0, 17.44
AFLfast,xmllint,9,1624790744, 0, 0, 16.99
AFLfast,xmllint,9,1624790749, 0, 0, 16.67
AFLfast,xmllint,9,1624790791, 0, 0, 17.77
AFLfast,xmllint,9,1624790816, 0, 0, 17.82
AFLfast,xmllint,9,1624790822, 0, 0, 18.06
AFLfast,xmllint,9,1624790827, 0, 0, 16.76
AFLfast,xmllint,9,1624790832, 0, 0, 17.12
AFLfast,xmllint,9,1624790837, 0, 0, 17.25
AFLfast,xmllint,9,1624790853, 0, 0, 16.27
AFLfast,xmllint,9,1624790858, 0, 0, 16.40
AFLfast,xmllint,9,1624790863, 0, 0, 16.00
AFLfast,xmllint,9,1624790868, 0, 0, 17.08
AFLfast,xmllint,9,1624790873, 0, 0, 16.06
AFLfast,xmllint,9,1624790878, 0, 0, 17.72
AFLfast,xmllint,9,1624790889, 0, 0, 17.37
AFLfast,xmllint,9,1624790914, 0, 0, 15.55
AFLfast,xmllint,9,1624790919, 0, 0, 16.23
AFLfast,xmllint,9,1624790945, 0, 0, 16.42
AFLfast,xmllint,9,1624790971, 0, 0, 18.57
AFLfast,xmllint,9,1624790986, 0, 0, 16.73
AFLfast,xmllint,9,1624790991, 0, 0, 14.96
AFLfast,xmllint,9,1624791017, 0, 0, 17.52
AFLfast,xmllint,9,1624791022, 0, 0, 15.58
AFLfast,xmllint,9,1624791027, 0, 0, 16.46
AFLfast,xmllint,9,1624791033, 0, 0, 16.64
AFLfast,xmllint,9,1624791043, 0, 0, 17.37
AFLfast,xmllint,9,1624791048, 0, 0, 15.72
AFLfast,xmllint,9,1624791063, 0, 0, 16.86
AFLfast,xmllint,9,1624791094, 0, 0, 16.73
AFLfast,xmllint,9,1624791104, 0, 0, 17.32
AFLfast,xmllint,9,1624791110, 0, 0, 18.06
AFLfast,xmllint,9,1624791115, 0, 0, 16.13
AFLfast,xmllint,9,1624791135, 0, 0, 18.12
AFLfast,xmllint,9,1624791161, 0, 0, 18.16
AFLfast,xmllint,9,1624791177, 0, 0, 16.08
AFLfast,xmllint,9,1624791182, 0, 0, 16.50
AFLfast,xmllint,9,1624791187, 0, 0, 15.97
AFLfast,xmllint,9,1624791192, 0, 0, 16.56
AFLfast,xmllint,9,1624791202, 0, 0, 17.33
AFLfast,xmllint,9,1624791213, 0, 0, 16.93
AFLfast,xmllint,9,1624791269, 0, 0, 16.36
AFLfast,xmllint,9,1624791274, 0, 0, 15.75
AFLfast,xmllint,9,1624791280, 0, 0, 15.81
AFLfast,xmllint,9,1624791285, 0, 0, 16.78
AFLfast,xmllint,9,1624791290, 0, 0, 16.33
AFLfast,xmllint,9,1624791295, 0, 0, 16.17
AFLfast,xmllint,9,1624791310, 0, 0, 17.25
AFLfast,xmllint,9,1624791341, 0, 0, 16.17
AFLfast,xmllint,9,1624791366, 0, 0, 16.27
AFLfast,xmllint,9,1624791377, 0, 0, 17.23
AFLfast,xmllint,9,1624791469, 0, 0, 16.97
AFLfast,xmllint,9,1624791586, 0, 0, 15.74
AFLfast,xmllint,9,1624791638, 0, 0, 15.66
AFLfast,xmllint,9,1624792115, 0, 0, 17.98
AFLfast,xmllint,9,1624792120, 0, 0, 16.78
AFLfast,xmllint,9,1624792130, 0, 0, 17.73
AFLfast,xmllint,9,1624792233, 0, 0, 17.98
AFLfast,xmllint,9,1624792238, 0, 0, 16.35
