alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
AFLfast,pcre2grep,9,1624611959, 0, 0, 6, 6, 1, 0.03%, 0, 0, 1, 13.76
AFLfast,pcre2grep,9,1624611964, 0, 2, 6, 6, 1, 0.03%, 0, 0, 1, 18.86
AFLfast,pcre2grep,9,1624612144, 0, 3, 6, 5, 0, 0.03%, 0, 0, 1, 35.17
AFLfast,pcre2grep,9,1624614580, 0, 4, 6, 4, 0, 0.03%, 0, 0, 1, 38.90
AFLfast,pcre2grep,9,1624617420, 0, 5, 6, 3, 0, 0.03%, 0, 0, 1, 48.59
AFLfast,pcre2grep,9,1624618810, 1, 0, 6, 2, 0, 0.03%, 0, 0, 1, 48.09
AFLfast,pcre2grep,9,1624619164, 1, 1, 6, 1, 0, 0.03%, 0, 0, 1, 49.19
AFLfast,pcre2grep,9,1624621275, 13, 4, 6, 0, 0, 0.03%, 0, 0, 1, 35.95
AFLfast,pcre2grep,9,1624621281, 43, 4, 6, 0, 0, 0.03%, 0, 0, 1, 22.42
AFLfast,pcre2grep,9,1624621286, 71, 4, 6, 0, 0, 0.03%, 0, 0, 1, 18.28
AFLfast,pcre2grep,9,1624621291, 100, 5, 6, 0, 0, 0.03%, 0, 0, 1, 17.65
AFLfast,pcre2grep,9,1624621296, 131, 1, 6, 0, 0, 0.03%, 0, 0, 1, 17.62
AFLfast,pcre2grep,9,1624621301, 161, 5, 6, 0, 0, 0.03%, 0, 0, 1, 17.44
AFLfast,pcre2grep,9,1624621306, 191, 1, 6, 0, 0, 0.03%, 0, 0, 1, 16.98
AFLfast,pcre2grep,9,1624621312, 220, 4, 6, 0, 0, 0.03%, 0, 0, 1, 17.18
AFLfast,pcre2grep,9,1624621317, 250, 4, 6, 0, 0, 0.03%, 0, 0, 1, 17.46
AFLfast,pcre2grep,9,1624621322, 280, 4, 6, 0, 0, 0.03%, 0, 0, 1, 17.44
AFLfast,pcre2grep,9,1624621327, 310, 5, 6, 0, 0, 0.03%, 0, 0, 1, 17.62
AFLfast,pcre2grep,9,1624621332, 340, 4, 6, 0, 0, 0.03%, 0, 0, 1, 17.27
AFLfast,pcre2grep,9,1624621337, 370, 4, 6, 0, 0, 0.03%, 0, 0, 1, 17.33
AFLfast,pcre2grep,9,1624621342, 400, 4, 6, 0, 0, 0.03%, 0, 0, 1, 17.42
AFLfast,pcre2grep,9,1624621348, 430, 5, 6, 0, 0, 0.03%, 0, 0, 1, 17.71
AFLfast,pcre2grep,9,1624621353, 459, 5, 6, 0, 0, 0.03%, 0, 0, 1, 17.40
AFLfast,pcre2grep,9,1624621358, 489, 1, 6, 0, 0, 0.03%, 0, 0, 1, 16.90
AFLfast,pcre2grep,9,1624621363, 519, 4, 6, 0, 0, 0.03%, 0, 0, 1, 17.44
AFLfast,pcre2grep,9,1624621368, 548, 4, 6, 0, 0, 0.03%, 0, 0, 1, 18.04
AFLfast,pcre2grep,9,1624621373, 578, 1, 6, 0, 0, 0.03%, 0, 0, 1, 17.51
AFLfast,pcre2grep,9,1624621378, 608, 4, 6, 0, 0, 0.03%, 0, 0, 1, 17.68
AFLfast,pcre2grep,9,1624621383, 638, 1, 6, 0, 0, 0.03%, 0, 0, 1, 17.66
AFLfast,pcre2grep,9,1624621389, 668, 4, 6, 0, 0, 0.03%, 0, 0, 1, 17.72
AFLfast,pcre2grep,9,1624621394, 698, 1, 6, 0, 0, 0.03%, 0, 0, 1, 17.69
AFLfast,pcre2grep,9,1624621399, 729, 5, 6, 0, 0, 0.03%, 0, 0, 1, 17.90
AFLfast,pcre2grep,9,1624621404, 760, 4, 6, 0, 0, 0.03%, 0, 0, 1, 17.83
AFLfast,pcre2grep,9,1624621409, 790, 4, 6, 0, 0, 0.03%, 0, 0, 1, 17.68
AFLfast,pcre2grep,9,1624621414, 819, 1, 6, 0, 0, 0.03%, 0, 0, 1, 17.28
AFLfast,pcre2grep,9,1624621420, 850, 4, 6, 0, 0, 0.03%, 0, 0, 1, 17.67
AFLfast,pcre2grep,9,1624621425, 880, 1, 6, 0, 0, 0.03%, 0, 0, 1, 17.51
AFLfast,pcre2grep,9,1624621430, 909, 1, 6, 0, 0, 0.03%, 0, 0, 1, 17.04
AFLfast,pcre2grep,9,1624621435, 939, 4, 6, 0, 0, 0.03%, 0, 0, 1, 17.33
