alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
AFLfast,sqlite3,12,1624629926, 0, 0, 10, 10, 1, 0.15%, 0, 0, 1, 11.37
AFLfast,sqlite3,12,1624629931, 0, 5, 10, 10, 1, 0.15%, 0, 0, 1, 12.55
AFLfast,sqlite3,12,1624631081, 0, 6, 10, 9, 0, 0.15%, 0, 0, 1, 9.53
AFLfast,sqlite3,12,1624633600, 0, 7, 10, 8, 0, 0.15%, 0, 0, 1, 15.80
AFLfast,sqlite3,12,1624634332, 0, 8, 10, 7, 0, 0.15%, 0, 0, 1, 10.68
AFLfast,sqlite3,12,1624639822, 0, 9, 10, 6, 0, 0.15%, 0, 0, 1, 16.81
AFLfast,sqlite3,12,1624641015, 1, 0, 10, 5, 0, 0.15%, 0, 0, 1, 16.38
AFLfast,sqlite3,12,1624641550, 1, 1, 10, 4, 0, 0.15%, 0, 0, 1, 16.60
AFLfast,sqlite3,12,1624641976, 1, 2, 10, 3, 0, 0.15%, 0, 0, 1, 16.72
AFLfast,sqlite3,12,1624642546, 1, 3, 10, 2, 0, 0.15%, 0, 0, 1, 17.89
AFLfast,sqlite3,12,1624642767, 1, 3, 11, 3, 0, 0.15%, 0, 0, 2, 16.27
AFLfast,sqlite3,12,1624642947, 1, 10, 11, 2, 1, 0.15%, 0, 0, 2, 16.27
AFLfast,sqlite3,12,1624642952, 1, 10, 13, 4, 1, 0.16%, 0, 0, 3, 15.88
AFLfast,sqlite3,12,1624643332, 1, 10, 14, 5, 1, 0.16%, 0, 0, 3, 16.30
AFLfast,sqlite3,12,1624643404, 1, 11, 14, 4, 3, 0.16%, 0, 0, 3, 16.24
AFLfast,sqlite3,12,1624643830, 1, 12, 14, 3, 2, 0.16%, 0, 0, 3, 16.89
AFLfast,sqlite3,12,1624644247, 1, 13, 14, 2, 1, 0.16%, 0, 0, 3, 17.11
AFLfast,sqlite3,12,1624644665, 3, 0, 14, 1, 0, 0.16%, 0, 0, 3, 0.00
AFLfast,sqlite3,12,1624644670, 6, 4, 14, 1, 0, 0.16%, 0, 0, 3, 14.67
AFLfast,sqlite3,12,1624645226, 7, 0, 14, 0, 0, 0.16%, 0, 0, 3, 1.74
AFLfast,sqlite3,12,1624645231, 11, 0, 14, 0, 0, 0.16%, 0, 0, 3, 0.00
AFLfast,sqlite3,12,1624645237, 15, 0, 14, 0, 0, 0.16%, 0, 0, 3, 0.00
AFLfast,sqlite3,12,1624645243, 19, 0, 14, 0, 0, 0.16%, 0, 0, 3, 0.00
AFLfast,sqlite3,12,1624645249, 23, 0, 14, 0, 0, 0.16%, 0, 0, 3, 0.00
AFLfast,sqlite3,12,1624645254, 27, 0, 14, 0, 0, 0.16%, 0, 0, 3, 0.00
AFLfast,sqlite3,12,1624645259, 31, 0, 14, 0, 0, 0.16%, 0, 0, 3, 0.00
AFLfast,sqlite3,12,1624645265, 35, 0, 14, 0, 0, 0.16%, 0, 0, 3, 0.00
AFLfast,sqlite3,12,1624645271, 39, 0, 14, 0, 0, 0.16%, 0, 0, 3, 0.00
AFLfast,sqlite3,12,1624645276, 42, 0, 14, 0, 0, 0.16%, 0, 0, 3, 0.00
AFLfast,sqlite3,12,1624645282, 46, 0, 14, 0, 0, 0.16%, 0, 0, 3, 0.00
AFLfast,sqlite3,12,1624645287, 50, 0, 14, 0, 0, 0.16%, 0, 0, 3, 0.00
AFLfast,sqlite3,12,1624645293, 54, 0, 14, 0, 0, 0.16%, 0, 0, 3, 0.00
AFLfast,sqlite3,12,1624645299, 58, 0, 14, 0, 0, 0.16%, 0, 0, 3, 0.00
AFLfast,sqlite3,12,1624645304, 62, 0, 14, 0, 0, 0.16%, 0, 0, 3, 0.00
AFLfast,sqlite3,12,1624645309, 66, 0, 14, 0, 0, 0.16%, 0, 0, 3, 0.00
AFLfast,sqlite3,12,1624645315, 70, 0, 14, 0, 0, 0.16%, 0, 0, 3, 0.00
AFLfast,sqlite3,12,1624645320, 74, 0, 14, 0, 0, 0.16%, 0, 0, 3, 0.00
AFLfast,sqlite3,12,1624645326, 78, 0, 14, 0, 0, 0.16%, 0, 0, 3, 0.00
AFLfast,sqlite3,12,1624645331, 82, 0, 14, 0, 0, 0.16%, 0, 0, 3, 0.00
AFLfast,sqlite3,12,1624645337, 86, 0, 14, 0, 0, 0.16%, 0, 0, 3, 0.00
AFLfast,sqlite3,12,1624645342, 90, 0, 14, 0, 0, 0.16%, 0, 0, 3, 0.00
AFLfast,sqlite3,12,1624645348, 94, 0, 14, 0, 0, 0.16%, 0, 0, 3, 0.00
AFLfast,sqlite3,12,1624645354, 98, 0, 14, 0, 0, 0.16%, 0, 0, 3, 0.00
AFLfast,sqlite3,12,1624645360, 102, 0, 14, 0, 0, 0.16%, 0, 0, 3, 0.00
AFLfast,sqlite3,12,1624645365, 106, 0, 14, 0, 0, 0.16%, 0, 0, 3, 0.00
AFLfast,sqlite3,12,1624645371, 110, 0, 14, 0, 0, 0.16%, 0, 0, 3, 0.00
AFLfast,sqlite3,12,1624645376, 114, 0, 14, 0, 0, 0.16%, 0, 0, 3, 0.00
AFLfast,sqlite3,12,1624645382, 118, 0, 14, 0, 0, 0.16%, 0, 0, 3, 0.00
AFLfast,sqlite3,12,1624645387, 122, 0, 14, 0, 0, 0.16%, 0, 0, 3, 0.00
AFLfast,sqlite3,12,1624645393, 126, 0, 14, 0, 0, 0.16%, 0, 0, 3, 0.00
AFLfast,sqlite3,12,1624645399, 129, 0, 14, 0, 0, 0.16%, 0, 0, 3, 0.00
AFLfast,sqlite3,12,1624645404, 133, 0, 14, 0, 0, 0.16%, 0, 0, 3, 0.00
AFLfast,sqlite3,12,1624645410, 137, 0, 14, 0, 0, 0.16%, 0, 0, 3, 0.00
