alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,sqlite3,3,1624629465, 0, 0, 12.25
AFLfast,sqlite3,3,1624629470, 0, 0, 12.62
AFLfast,sqlite3,3,1624630518, 0, 0, 10.03
AFLfast,sqlite3,3,1624631174, 0, 0, 10.29
AFLfast,sqlite3,3,1624631318, 0, 0, 9.51
AFLfast,sqlite3,3,1624632122, 0, 0, 9.63
AFLfast,sqlite3,3,1624633029, 0, 0, 9.96
AFLfast,sqlite3,3,1624633944, 0, 0, 10.26
AFLfast,sqlite3,3,1624637213, 0, 0, 13.45
AFLfast,sqlite3,3,1624637686, 0, 0, 16.41
AFLfast,sqlite3,3,1624637691, 0, 0, 16.53
AFLfast,sqlite3,3,1624637881, 0, 0, 16.97
AFLfast,sqlite3,3,1624638021, 0, 0, 16.33
AFLfast,sqlite3,3,1624638026, 0, 0, 16.85
AFLfast,sqlite3,3,1624638031, 0, 0, 16.62
AFLfast,sqlite3,3,1624638359, 0, 0, 16.78
AFLfast,sqlite3,3,1624638405, 0, 0, 17.27
AFLfast,sqlite3,3,1624638763, 0, 0, 16.43
AFLfast,sqlite3,3,1624639118, 0, 0, 16.46
AFLfast,sqlite3,3,1624639473, 0, 0, 15.95
AFLfast,sqlite3,3,1624640033, 0, 0, 17.98
AFLfast,sqlite3,3,1624640556, 0, 0, 16.37
AFLfast,sqlite3,3,1624640939, 0, 0, 0.00
AFLfast,sqlite3,3,1624640944, 0, 0, 17.39
AFLfast,sqlite3,3,1624641257, 0, 0, 10.39
AFLfast,sqlite3,3,1624641582, 0, 0, 16.99
AFLfast,sqlite3,3,1624641839, 0, 0, 0.80
AFLfast,sqlite3,3,1624641844, 0, 0, 17.31
AFLfast,sqlite3,3,1624642204, 0, 0, 14.39
AFLfast,sqlite3,3,1624642696, 0, 0, 15.73
AFLfast,sqlite3,3,1624643042, 0, 0, 0.00
AFLfast,sqlite3,3,1624643047, 0, 0, 12.21
AFLfast,sqlite3,3,1624644143, 0, 0, 16.85
AFLfast,sqlite3,3,1624644597, 0, 0, 0.00
AFLfast,sqlite3,3,1624644602, 0, 0, 0.00
AFLfast,sqlite3,3,1624644608, 0, 0, 0.00
AFLfast,sqlite3,3,1624644614, 0, 0, 0.00
AFLfast,sqlite3,3,1624644620, 0, 0, 0.00
AFLfast,sqlite3,3,1624644627, 0, 0, 0.00
AFLfast,sqlite3,3,1624644633, 0, 0, 0.00
AFLfast,sqlite3,3,1624644639, 0, 0, 0.00
AFLfast,sqlite3,3,1624644645, 0, 0, 0.00
AFLfast,sqlite3,3,1624644651, 0, 0, 0.00
AFLfast,sqlite3,3,1624644656, 0, 0, 0.00
AFLfast,sqlite3,3,1624644661, 0, 0, 0.00
AFLfast,sqlite3,3,1624644667, 0, 0, 0.00
AFLfast,sqlite3,3,1624644672, 0, 0, 0.00
AFLfast,sqlite3,3,1624644678, 0, 0, 0.00
AFLfast,sqlite3,3,1624644684, 0, 0, 0.00
